"date","daynum","month","day","cumulative_confirmed_cases","new_confirmed_cases","cumulative_deaths","new_deaths","hospitalized_currently","hospitalized_cumulative","InICU_currently","InICU_cumulative","OnVentilator_Currently","OnVentilator_Cumulative","Recovered_Cumulative","cumulative_confirmed_cases_0_9","cumulative_confirmed_cases_10_19","cumulative_confirmed_cases_20_29","cumulative_confirmed_cases_30_39","cumulative_confirmed_cases_40_49","cumulative_confirmed_cases_50_59","cumulative_confirmed_cases_60_69","cumulative_confirmed_cases_70_79","cumulative_confirmed_cases_80plus","cumulative_confirmed_hospitalizations_0_9","cumulative_confirmed_hospitalizations_10_19","cumulative_confirmed_hospitalizations_20_29","cumulative_confirmed_hospitalizations_30_39","cumulative_confirmed_hospitalizations_40_49","cumulative_confirmed_hospitalizations_50_59","cumulative_confirmed_hospitalizations_60_69","cumulative_confirmed_hospitalizations_70_79","cumulative_confirmed_hospitalizations_80plus","cumulative_confirmed_deaths_0_9","cumulative_confirmed_deaths_10_19","cumulative_confirmed_deaths_20_29","cumulative_confirmed_deaths_30_39","cumulative_confirmed_deaths_40_49","cumulative_confirmed_deaths_50_59","cumulative_confirmed_deaths_60_69","cumulative_confirmed_deaths_70_79","cumulative_confirmed_deaths_80plus","Cumulative_hospital_deaths","Cumulative_hospital_discharges"
43888,58,2,27,0,,0,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43889,59,2,28,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43890,60,2,29,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43891,61,3,1,1,,0,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43892,62,3,2,1,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43893,63,3,3,1,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43894,64,3,4,2,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43895,65,3,5,2,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43896,66,3,6,2,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43897,67,3,7,2,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43898,68,3,8,3,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43899,69,3,9,4,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43900,70,3,10,6,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43901,71,3,11,14,,0,,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43902,72,3,12,20,,0,,5,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43903,73,3,13,20,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43904,74,3,14,20,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43905,75,3,15,21,,0,,9,10,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43906,76,3,16,24,,0,,11,12,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43907,77,3,17,38,,0,,17,18,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43908,78,3,18,48,,0,,20,21,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43909,79,3,19,65,,1,,21,23,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43910,80,3,20,79,,1,,26,28,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43911,81,3,21,92,,1,,27,31,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43912,82,3,22,117,,1,,29,33,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43913,83,3,23,133,,1,,44,49,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43914,84,3,24,152,,1,,52,57,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43915,85,3,25,184,,1,,55,61,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
43916,86,3,26,223,,1,,59,70,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11
43917,87,3,27,258,,3,,66,79,16,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
43918,88,3,28,324,,4,,74,90,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14
43919,89,3,29,428,,6,,78,98,18,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17
43920,90,3,30,510,,9,,92,117,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22
43921,91,3,31,579,,11,,95,128,21,,13,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29
43922,92,4,1,682,,12,,106,146,29,,15,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36
43923,93,4,2,747,,16,,120,168,35,,21,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,42
43924,94,4,3,845,,19,,136,191,42,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,49
43925,95,4,4,981,,28,,149,213,40,,29,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,53
43926,96,4,5,1163,,30,,159,233,43,,35,,35,0,13,104,136,123,176,150,86,89," ",,,,,,,,,,,,,,,,,,12,62
43927,97,4,6,1379,,37,,178,259,47,,39,,35,2.5,19,123,153,146,202,172,100,106," ",,,,,,,,,,,,,,,,,,12,69
43928,98,4,7,1639,,42,,192,278,49,,41,,35,2.5,23,132,170,165,240,196,115,133.5," ",,,,,,,,,,,,,,,,,,14,72
43929,99,4,8,1913,,52,,196,296,49,,37,,35,6,25,166,188,195,289,226,127,155.5," ",,,,,,,,,,,,,,,,,,19,81
43930,100,4,9,2199,,59,,216,328,53,,40,,35,8,36,204,231,239,335,275,155,198.5," ",,,,,,,,,,,,,,,,,,23,89
43931,101,4,10,2592,,70,,223,357,59,,41,,35,9,46,244,259,284,393,313,170,231.5," ",,,,,,,,,,,,,,,,,,28,106
43932,102,4,11,2873,,82,,239,386,61,,48,,35,11,52,279,287,317,441,348,191,263.5," ",,,,,,,,,,,,,,,,,,30,117
43933,103,4,12,3164,,91,,257,421,59,,49,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,129
43934,104,4,13,3347,,100,,275,455,64,,54,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,142
